"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://signomy.xyz/","Indexable","","0","","21","16","0","34.780","27","17","0","1","1","0"
"https://signomy.xyz/missions","Indexable","","1","","35","25","0","54.350","22","14","0","1","1","0"
"https://signomy.xyz/contact","Indexable","","1","","7","7","0","15.220","3","3","0","1","1","0"
"https://signomy.xyz/entry","Indexable","","1","","21","4","0","8.700","11","10","0","0","0","0"
"https://signomy.xyz/economics","Indexable","","1","","20","17","0","36.960","5","5","0","1","1","0"
"https://signomy.xyz/civitas","Indexable","","1","","20","7","0","15.220","26","9","0","0","0","0"
"https://signomy.xyz/kingdoms","Indexable","","1","","8","6","0","13.040","13","10","0","1","1","0"
"https://signomy.xyz/helpwanted","Indexable","","1","","24","16","0","34.780","29","11","0","1","1","0"
"https://signomy.xyz/governance","Indexable","","1","","31","23","0","50.000","19","5","0","1","1","0"
"https://signomy.xyz/lobby","Indexable","","1","","1","1","0","2.170","4","2","0","0","0","0"
"https://signomy.xyz/kassa","Indexable","","1","","48","26","0","56.520","9","6","0","1","1","0"
"https://signomy.xyz/advisory","Indexable","","1","","6","5","0","10.870","9","7","0","1","1","0"
"https://signomy.xyz/iso-collaborators","Indexable","","2","","2","2","0","4.350","3","1","0","0","0","0"
"https://signomy.xyz/vault/gov-001","Indexable","","2","","2","2","0","4.350","1","1","0","0","0","0"
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","Non-Indexable","Canonicalised","2","","14","1","0","2.170","9","6","0","1","1","0"
"https://signomy.xyz/vault/gov-005","Indexable","","2","","2","2","0","4.350","1","1","0","0","0","0"
"https://signomy.xyz/grand-opening","Indexable","","2","","3","2","0","4.350","6","4","0","1","1","0"
"https://signomy.xyz/hiring","Indexable","","2","","2","2","0","4.350","3","1","0","0","0","0"
"https://signomy.xyz/products","Indexable","","2","","6","4","0","8.700","6","3","0","1","1","0"
"https://signomy.xyz/bountyboard","Indexable","","2","","6","4","0","8.700","7","4","0","1","1","0"
"https://signomy.xyz/portal","Indexable","","2","","4","4","0","8.700","10","10","0","0","0","0"
"https://signomy.xyz/services","Indexable","","2","","6","4","0","8.700","7","5","0","1","1","0"
"https://signomy.xyz/forums","Indexable","","2","","3","3","0","6.520","3","3","0","1","1","0"
"https://signomy.xyz/moses","Indexable","","2","","2","2","0","4.350","5","5","0","11","7","0"
"https://signomy.xyz/slots","Indexable","","2","","3","2","0","4.350","13","9","0","1","1","0"
"https://signomy.xyz/agentdash","Indexable","","2","","2","2","0","4.350","7","7","0","0","0","0"
"https://signomy.xyz/treasury","Indexable","","2","","5","5","0","10.870","3","3","0","1","1","0"
"https://signomy.xyz/dashboard","Indexable","","2","","3","3","0","6.520","9","6","0","0","0","0"
"https://signomy.xyz/agent/me","Non-Indexable","Canonicalised","2","","2","2","0","4.350","10","10","0","0","0","0"
"https://signomy.xyz/refinery","Indexable","","2","","2","2","0","4.350","7","7","0","0","0","0"
"https://signomy.xyz/campaign","Indexable","","2","","4","4","0","8.700","6","6","0","0","0","0"
"https://signomy.xyz/about","Indexable","","2","","2","2","0","4.350","7","6","0","1","1","0"
"https://signomy.xyz/vault","Indexable","","2","","15","13","0","28.260","10","10","0","1","1","0"
"https://signomy.xyz/leaderboard","Indexable","","2","","19","15","0","32.610","13","11","0","1","1","0"
"https://signomy.xyz/world","Indexable","","2","","6","6","0","13.040","13","10","0","0","0","0"
"https://signomy.xyz/switchboard","Indexable","","2","","1","1","0","2.170","5","5","0","0","0","0"
"https://signomy.xyz/deploy","Indexable","","2","","11","10","0","21.740","6","6","0","0","0","0"
"https://signomy.xyz/vault/gov-002","Indexable","","3","","1","1","0","2.170","1","1","0","0","0","0"
"https://signomy.xyz/vault/gov-006","Indexable","","3","","1","1","0","2.170","1","1","0","0","0","0"
"https://signomy.xyz/vault/gov-003","Indexable","","3","","1","1","0","2.170","1","1","0","0","0","0"
"https://signomy.xyz/command","Indexable","","3","","3","3","0","6.520","11","10","0","0","0","0"
"https://signomy.xyz/mission","Indexable","","3","","3","3","0","6.520","13","9","0","1","1","0"
"https://signomy.xyz/vault/gov-004","Indexable","","3","","1","1","0","2.170","1","1","0","0","0","0"
"https://signomy.xyz/sig-arena","Indexable","","3","","3","3","0","6.520","11","6","0","1","1","0"
"https://signomy.xyz/agent","Indexable","","3","","0","0","0","0.000","10","10","0","0","0","0"
"https://signomy.xyz/seeds","Indexable","","3","","4","4","0","8.700","3","3","0","1","1","0"
